Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
27	-47.966652	1.3765622	-46.53388	-49.48303	-0.071582355	0.0024290527	-0.06760564	-0.076607354	999.0	999.0	107999	-0.043676987	0.03920073	0.005124612	-0.10608864	-0.0023738728	5.7951098e-08	392.135272026062
28	-47.547493	0.60529554	-46.559795	-48.044327	-0.033592995	0.0047135474	-0.026815966	-0.04075279	999.0	999.0	111999	-0.043576922	0.039198797	0.005097738	-0.10373217	-0.0025922337	5.100503e-08	406.7044153213501
29	-47.57778	0.7999285	-46.551796	-48.68937	-0.02223881	0.0024075126	-0.019683804	-0.02611568	999.0	999.0	115999	-0.043405868	0.039243765	0.0054012146	-0.10265922	-0.0028057562	4.8475314e-08	421.29308581352234
30	-47.615273	1.6246883	-45.986126	-50.317955	-0.02850056	0.00024873295	-0.028176868	-0.028889101	999.0	999.0	119999	-0.043299537	0.039204933	0.005115149	-0.101968504	-0.0028806292	4.1810605e-08	436.1973330974579
31	-47.10337	0.7212972	-46.53839	-48.314686	-0.01784376	3.7028294e-05	-0.017758489	-0.017891502	999.0	999.0	123999	-0.043321587	0.039212167	0.006329039	-0.10084384	-0.0029157877	4.143716e-08	450.7709801197052
32	-46.60518	1.0623282	-45.417294	-47.725765	-0.0089155985	0.00032403326	-0.008616855	-0.009651813	999.0	999.0	127999	-0.04351601	0.03925373	0.0063702306	-0.100031346	-0.002804331	3.9796404e-08	465.5599443912506
33	-46.79461	0.6159629	-45.733192	-47.244907	-0.0045809923	0.00019369103	-0.0042449245	-0.004943626	999.0	999.0	131999	-0.043523647	0.039250188	0.007650298	-0.09947944	-0.0027673016	3.939512e-08	480.2322862148285
34	-47.676872	0.61039484	-46.877464	-48.561882	-0.007253056	0.00040701093	-0.006844023	-0.008334083	999.0	999.0	135999	-0.043481003	0.039223444	0.010351792	-0.10065945	-0.002823909	4.4559798e-08	494.70881628990173
35	-21.889061	42.956882	52.46293	-48.345512	-0.2245456	0.073312856	-0.10197074	-0.3337538	997.5	999.0	139999	-0.037670165	0.0401336	0.11132741	-0.14227593	-0.008773031	0.058561567	509.27668619155884
36	-46.38721	0.763607	-45.58545	-47.45022	-0.12217555	0.045481384	-0.052976068	-0.16532302	999.0	999.0	143999	-0.025151141	0.039716784	0.12104782	-0.1345439	-0.021129403	0.019512927	523.782185792923
37	-46.63781	0.7765401	-45.4704	-47.65523	-0.43071595	8.3350256e-05	-0.43062732	-0.43090203	999.0	999.0	147999	-0.017210264	0.04627884	0.7572473	-0.10786997	-0.029734062	0.07765512	538.4042823314667
38	-47.831448	1.2494619	-46.250237	-49.743282	-1.478101	0.078669645	-1.3889511	-1.6391133	999.0	999.0	151999	0.013570702	0.109547816	2.6747694	-0.1933405	-0.061034735	0.094989665	552.993242263794
39	-22.983505	43.210518	51.833214	-49.457493	-0.5305309	0.13424039	-0.41012198	-0.7956499	998.25	999.0	155999	0.042145755	0.2070137	5.7170315	-0.17642024	-0.090495825	0.07296438	567.5017426013947
40	-46.448772	1.3645977	-45.07605	-48.710217	-3.442059	0.10987039	-3.2355022	-3.559258	999.0	999.0	159999	0.109982625	0.40005776	12.219177	-0.51872754	-0.16055354	0.15187924	582.2540740966797
41	-48.53728	1.2065562	-46.83572	-49.749855	-3.3779259	0.28200975	-2.8883426	-4.0195203	999.0	999.0	163999	0.16258156	0.56103957	15.63933	-0.9223844	-0.21494645	0.048807718	596.8096830844879
42	43.195793	45.310143	72.95081	-46.322956	-0.14604822	0.0032983848	-0.14204027	-0.15158972	753.0	999.0	167999	0.4107443	1.194061	44.856335	-1.558706	-0.48270616	0.22947946	611.2846038341522
43	77.51159	8.454303	89.55053	61.84993	41.469116	52.640804	96.02526	-11.212202	450.66666	581.9	171999	1.1734903	2.8377242	77.53073	-1.9379073	-1.2890358	0.15619051	624.1035451889038
44	90.33965	3.4567456	94.308014	73.82272	94.06006	0.34911484	94.23997	93.04169	163.8077	71.3	175999	3.4706874	6.9653444	138.80745	-1.6081382	-3.7146413	0.26275593	634.8908226490021
45	91.14853	1.7566036	94.6724	87.33929	93.39984	0.036697187	93.466064	93.34621	133.43333	67.8	179999	9.150024	13.360686	159.4961	-0.16887009	-9.667677	1.0501126	645.7298276424408
46	89.99356	2.0576873	94.68689	84.56364	93.28765	0.036212087	93.319046	93.20974	150.25926	68.2	183999	20.385107	18.868273	160.399	1.3955252	-21.281353	2.2250133	656.4979338645935
47	91.31511	2.0347323	94.8835	88.25987	92.95055	0.061859284	92.98693	92.79478	129.0	71.3	187999	34.45852	20.09932	151.27951	8.750824	-35.533695	2.9402223	667.3030800819397
48	90.946335	1.7210265	94.44213	88.401085	92.79298	0.09953441	92.90187	92.60258	133.46666	73.0	191999	48.839	17.978983	133.17645	18.771074	-50.018322	3.6173255	678.0237965583801
49	90.6208	2.541256	94.75144	81.612915	92.630356	0.07796212	92.703094	92.445915	138.96428	74.5	195999	57.497654	14.907242	120.11734	30.246567	-58.298595	4.201295	688.8945171833038
50	91.063896	1.4072081	94.359344	87.81635	92.22123	0.9402582	92.85368	90.101555	132.90323	79.5	199999	57.655766	13.039708	121.18859	38.52183	-58.267704	3.7345636	700.0156464576721
51	91.26938	1.581875	93.747826	87.37279	92.33395	1.2008309	93.39835	90.54779	129.76666	78.3	203999	57.97974	11.611458	107.8345	44.09876	-58.563694	3.309394	711.0721938610077
52	92.233826	1.2819464	94.94205	88.48135	89.77211	0.8911024	90.646706	88.41557	113.888885	105.8	207999	55.56171	11.383466	108.11449	41.078384	-56.008125	3.216546	721.9264240264893
53	92.4456	1.2125847	94.701675	89.21122	91.59349	1.7593921	93.100555	89.016975	112.02857	84.9	211999	54.211796	11.562023	110.15656	40.674503	-54.723354	3.0672398	732.8973751068115
54	92.025085	2.0382903	94.545204	86.39594	91.84519	1.3649621	93.10556	89.7243	119.44118	82.5	215999	53.850716	11.965968	113.273926	39.76327	-54.382668	2.7318492	743.7154099941254
