Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
27	-47.983498	1.4897282	-46.4861	-49.582527	-0.07603065	0.0028479965	-0.07319154	-0.081877194	999.0	999.0	107999	-0.036539014	0.039178837	0.016123457	-0.09755857	-0.009612009	1.8025769e-07	812.1465783119202
28	-47.500324	0.4745031	-46.70609	-47.91004	-0.04085408	0.0017366789	-0.03908474	-0.04445129	999.0	999.0	111999	-0.03683663	0.03918501	0.015414861	-0.096890256	-0.0094279675	1.7626988e-07	845.9387791156769
29	-47.579933	0.8075388	-46.508007	-48.651485	-0.015544182	0.0022653446	-0.013391582	-0.020415127	999.0	999.0	115999	-0.0368273	0.039213985	0.012774896	-0.10032802	-0.009484704	1.6950787e-07	880.8008072376251
30	-47.57113	1.6704655	-45.8623	-50.335293	-0.002267335	0.0017804732	-0.0007366721	-0.006146009	999.0	999.0	119999	-0.0365242	0.03918934	0.0127799865	-0.1016502	-0.009803335	1.6560863e-07	914.946649312973
31	-47.13317	0.70266813	-46.578354	-48.301342	-0.0016101301	0.0008198871	-0.0008710078	-0.0034721433	999.0	999.0	123999	-0.035944458	0.039210156	0.014109946	-0.10010257	-0.010439797	1.7387094e-07	953.5101697444916
32	-46.597694	1.0742779	-45.379993	-47.71395	-0.003889655	0.0009179485	-0.0028631312	-0.0056807254	999.0	999.0	127999	-0.035364248	0.039249294	0.014033835	-0.10023312	-0.011130266	1.8077463e-07	993.4793314933777
33	-46.773674	0.6156388	-45.714436	-47.24074	-0.004563203	0.0006381574	-0.004135162	-0.00607121	999.0	999.0	131999	-0.03476906	0.039244812	0.01800711	-0.09684676	-0.011672435	1.8794923e-07	1028.840299129486
34	-47.673824	0.60078514	-46.870113	-48.526775	-0.0012694321	0.00048388875	-0.0007507871	-0.0024052542	999.0	999.0	135999	-0.03428858	0.039217453	0.0168637	-0.09660497	-0.012159382	1.9137528e-07	1064.4038398265839
35	-46.920254	1.5287193	-44.32889	-48.195065	-0.003001437	0.00025601077	-0.0027079845	-0.0033833664	999.0	999.0	139999	-0.033959646	0.039268848	0.015515546	-0.09469815	-0.012471793	2.0744297e-07	1099.5504841804504
36	-46.28292	0.74268675	-45.371933	-47.173725	-0.0007042115	0.00043492691	-0.00022209162	-0.00174925	999.0	999.0	143999	-0.033676963	0.039247252	0.015724435	-0.09411421	-0.012752656	1.919044e-07	1133.2469651699066
37	-46.45095	0.69849753	-45.34923	-47.254677	-0.0011077023	0.0003649454	-0.00067373837	-0.0019397094	999.0	999.0	147999	-0.033634838	0.039301105	0.015369447	-0.09425029	-0.012927342	1.9434339e-07	1164.3914988040924
38	-22.47039	43.57026	52.975708	-48.930923	-0.064526096	0.00011210193	-0.06431962	-0.06477402	998.0	999.0	151999	-0.033245582	0.039328963	0.027535941	-0.114678845	-0.01333429	0.019525515	1197.8545589447021
39	-47.549175	1.46237	-45.116238	-49.003937	-0.30315405	0.0030775939	-0.29729366	-0.30786335	999.0	999.0	155999	-0.022389082	0.04032356	0.1115493	-0.13058655	-0.024357777	0.058570508	1227.545562028885
40	-46.332363	1.2085582	-44.831913	-48.200665	-0.46304145	0.0018844217	-0.46173033	-0.46793827	999.0	999.0	159999	-0.006780428	0.0412129	0.2464001	-0.117832035	-0.03980432	0.0778736	1254.9552924633026
41	-48.52681	1.1701292	-47.177452	-49.971836	-0.43681988	0.0034153073	-0.43437213	-0.44590855	999.0	999.0	163999	0.0011016311	0.043028373	0.46251556	-0.13024805	-0.048243564	0.03885424	1282.6305770874023
42	-47.20018	0.9162494	-45.83076	-48.384117	-0.8376123	0.05416112	-0.76752645	-0.9303329	999.0	999.0	167999	0.026236456	0.05646796	1.5312679	-0.1655122	-0.074296035	0.11531886	1313.7116250991821
